"ID","Area","Feature","User Story","Expected Behavior From Code","Primary Source","Existing Test Coverage","Status","Baseline Result","Errors Found","Fix Status","Retest Result","Notes"
"US-018","Dictation","Flow profiles","As a user, I want task-specific dictation profiles for chat, writing, notes, meeting follow-up, and custom workflows.","DictationView defines built-in mode definitions, supports custom draft fields, and summarizes base style, route, result, context, history, clipboard, commands, language, and preview.","src/components/views/dictation-view.tsx; src/features/dictation/runtime.ts","src/__tests__/dictation-view.test.tsx","Retested pass","Focused DictationView tests passed.","Pending","No fix needed in this pass.","Dictation tests verify built-in profiles, Messages defaults, custom profile save, and recommended style install.","Custom profile delete remains visible in code but not directly asserted."
"US-019","Dictation","Start and stop dictation","As a user, I want a clear capture control that starts and stops dictation and reflects the current runtime phase.","DictationView uses useDictationRuntime and RecordingProvider state to manage primed, recording, processing, inserting, and error-like phases.","src/components/views/dictation-view.tsx; src/features/dictation/runtime.ts; src/hooks/use-recording.tsx","src/__tests__/dictation-view.test.tsx; src/__tests__/dictation-popup.test.tsx","Retested pass","Focused DictationView tests passed.","Pending","No fix needed in this pass.","Dictation tests verify lifecycle state events render transcribing status, preview text, runtime mode, language override on start, and start failure feedback.","AFK-safe mocks only; no microphone prompt invoked."
"US-020","Dictation","Session language selection","As a multilingual user, I want to choose auto-detect or a specific dictation language for this session.","DictationView exposes language options and active-language toggles from settings.","src/components/views/dictation-view.tsx; src/components/views/settings-view-simple.tsx","src/__tests__/dictation-view.test.tsx; src/__tests__/settings-view-simple.test.tsx","Retested pass","Focused DictationView tests passed.","Pending","No fix needed in this pass.","Dictation tests verify Session language persists separately and a single active language locks auto dictation to that language on start.","Responsive chip wrapping still needs rendered viewport proof."
"US-021","Dictation","Delivery doctor","As a user, I want to know where text was inserted, which route ran, and what to do when delivery falls back.","DictationView derives DeliveryDoctorSummary from target app, insertion status, resolved route, requested route, provider, model, latency, command, snippets, auto mode, and context.","src/components/views/dictation-view.tsx; src/lib/dictation-ui-message.ts","src/__tests__/dictation-ui-message.test.ts; src/__tests__/dictation-view.test.tsx","Retested pass","Focused DictationView and dictation-ui-message tests passed.","Pending","No fix needed in this pass.","Dictation tests verify runtime mode, target app, and auto mode telemetry appear in the latest result surface.","Empty telemetry state not directly asserted."
"US-022","Dictation","Latest result actions","As a user, I want to copy, speak, or reuse the latest dictation result after capture.","DictationView renders latest result card and actions for copy, text-to-speech playback, and related result handling.","src/components/views/dictation-view.tsx; src/lib/text-to-speech.ts","src/__tests__/dictation-view.test.tsx","Retested pass","Focused DictationView tests passed.","Pending","No fix needed in this pass.","Dictation tests verify a dictation-text-ready event renders the latest result and Read aloud uses speech synthesis.","Copy action not directly asserted."
"US-023","Dictation","Recent dictation history","As a user, I want to review recent dictations and restore details from prior results.","DictationView loads dictation history details and insights from backend APIs and shows recent dictations.","src/components/views/dictation-view.tsx; src/lib/backend/dictation.ts","src/__tests__/dictation-view.test.tsx","Retested pass","Focused DictationView tests passed.","Pending","No fix needed in this pass.","Dictation tests verify dictation history refreshes when a dictation result event arrives and insights are mocked into the surface.","Empty and failed-load proof still shallow."
"US-024","Dictation","Correction suggestions","As a user, I want Plainsong to suggest corrections and let me approve, reject, or learn them.","DictationView lists grouped correction suggestions and calls approve, reject, queue, and learn APIs.","src/components/views/dictation-view.tsx; src/lib/backend/dictation.ts","src/__tests__/dictation-view.test.tsx","Retested pass","Focused DictationView tests passed.","Pending","No fix needed in this pass.","Dictation tests verify latest-result edits queue a correction and duplicate suggestions group with approve and reject calls.","Optimistic loading feedback not directly asserted."
"US-025","Dictation","Dictionary management","As a user, I want a dictation dictionary for spoken forms, replacements, app scope, CSV import, and CSV export.","DictationView lists, creates, updates, deletes, imports, and exports dictionary entries through backend dictation APIs.","src/components/views/dictation-view.tsx; src/lib/backend/dictation.ts; rust-sidecar/src/dictation_dictionary_csv.rs","src/__tests__/dictation-view.test.tsx","Retested pass","Focused DictationView logistics tests added and passed.","Pending","No fix needed in this pass.","Dictation tests verify dictionary entry creation includes app scope and enabled state, CSV export opens populated CSV, and CSV import calls merge then shows completion status.","Delete/update paths remain covered by code inspection only."
"US-026","Dictation","Snippet management","As a user, I want text snippets that expand during dictation.","DictationView lists, creates, updates, and deletes dictation snippets.","src/components/views/dictation-view.tsx; src/lib/backend/dictation.ts","src/__tests__/dictation-view.test.tsx","Retested pass","Focused DictationView logistics test added and passed.","Pending","No fix needed in this pass.","Dictation test verifies phrase expansion snippet creation with trigger, expansion, app scope, case sensitivity, and enabled state.","Collision handling not directly asserted."
"US-027","Dictation","Command presets","As a power user, I want voice command presets for selection rewrites and formatting actions.","DictationView includes built-in command templates and lets users upsert or delete command presets.","src/components/views/dictation-view.tsx; src/lib/backend/dictation.ts; docs/evals/dictation-command-corpus-log.md","src/__tests__/dictation-view.test.tsx","Retested pass","Focused DictationView logistics test added and passed.","Pending","No fix needed in this pass.","Dictation test verifies editing Rewrite Shorter persists an upsert command preset object with command key, prompt, and enabled state.","Delete/reset path not directly asserted."
"US-028","Dictation","Selection capture and reprocess","As a user, I want to capture selected text, run a rewrite, and insert or copy the result.","DictationView calls captureSelectedTextForPlayback and reprocessDictationText with selected commands and context.","src/components/views/dictation-view.tsx; src/lib/backend/dictation.ts","src/__tests__/dictation-view.test.tsx","Retested pass","Focused DictationView test passed.","Pending","No fix needed in this pass.","Dictation test verifies Read selected text calls the mocked captureSelectedTextForPlayback backend and speaks the selected text aloud.","Reprocess insert/copy flow still needs additional mocked coverage."
"US-029","Meetings","Start and stop meeting recording","As a user, I want to start and stop meeting capture with clear consent and source context.","RecordingsView and RecordingProvider manage recording state, ConsentDialog, waveform, and source type.","src/components/views/recordings-view.tsx; src/hooks/use-recording.tsx; src/components/recording-overlay.tsx","src/__tests__/recordings-view.test.tsx; src/__tests__/recording-popup.test.tsx","Retested pass","AFK-safe focused meeting test passed.","Pending","No fix needed in this pass.","Meeting test verifies New Meeting opens consent, confirmed consent calls startMeeting with systemAudio, projectId, and consentPromptShown, and active meetings call stopMeeting.","Real mic and system audio capture remain permission-sensitive packaged checks."
"US-030","Meetings","Meeting list and filtering","As a user, I want to find and open recordings by list, search, project, or status.","RecordingsView loads recordings, supports search/filter UI, and opens detail workspace from the list or navigation event.","src/components/views/recordings-view.tsx; src/hooks/use-recordings.ts; src/lib/navigation.ts","src/__tests__/recordings-view.test.tsx; src/__tests__/use-recordings.test.ts","Retested pass","Focused RecordingsView tests passed.","Pending","No fix needed in this pass.","RecordingsView tests verify filter updates when a recording enters processing and selected recording data refreshes from canonical backend state.","Pending recording workspace event still needs direct proof."
"US-031","Meetings","Recording detail workspace","As a user, I want one workspace for transcript, notes, summary, actions, analysis, export, and audio actions.","RecordingsView uses useRecordingDetail, getTranscript, getRecording, TranscriptViewer, AiAnalysisPanel, export APIs, and audio playback APIs.","src/components/views/recordings-view.tsx; src/hooks/use-recording-detail.ts; src/components/transcript-viewer.tsx; src/components/ai-analysis-panel.tsx","src/__tests__/recordings-view.test.tsx; src/__tests__/use-recording-detail.test.tsx; src/__tests__/transcript-viewer.test.tsx; src/__tests__/ai-analysis-panel.test.tsx","Retested pass","Focused RecordingsView tests passed.","Pending","No fix needed in this pass.","RecordingsView tests verify opening a recording loads transcript details, review metadata, summary, notes, chat, audio retention copy, and export actions in the detail workspace.","Large surface remains mocked, not a live audio workspace run."
"US-032","Meetings","Transcript editing and segment deletion","As a user, I want to correct transcript segments or remove bad transcript content.","RecordingsView calls updateTranscriptSegment and deleteTranscriptSegments; TranscriptViewer supports transcript search and display.","src/components/views/recordings-view.tsx; src/components/transcript-viewer.tsx; src/lib/backend/recordings.ts","src/__tests__/recordings-view.test.tsx; src/__tests__/transcript-viewer.test.tsx","Retested pass","Existing transcript and recordings tests passed.","Pending","No fix needed in this pass.","Transcript editing behavior is covered by TranscriptViewer tests and RecordingsView transcript-detail loading tests.","Destructive segment deletion confirmation and undo absence still need specific UX review."
"US-033","Meetings","Speaker diarization and renaming","As a user, I want to separate speakers and rename them for readable meeting notes.","RecordingsView checks diarization model availability, runs diarization, and calls renameSpeaker.","src/components/views/recordings-view.tsx; src/lib/backend/asr.ts","src/__tests__/recordings-view.test.tsx","Retested pass","Focused speaker-identification test passed.","Pending","No fix needed in this pass.","Transcript tab test verifies missing speaker label messaging, unavailable local diarization error, available diarization calling runDiarization, and success feedback.","Speaker renaming backend is still covered indirectly by existing mocks, not a full UI rename path."
"US-034","Meetings","Summary and action extraction","As a user, I want grounded summary and action items generated from transcript and saved notes.","RecordingsView calls summarizeRecordingGrounded and extractActionItemsGrounded, stores generated notes, and displays citations.","src/components/views/recordings-view.tsx; src/lib/backend/ai.ts","src/__tests__/recordings-view.test.tsx","Retested pass","Focused RecordingsView tests passed.","Pending","No fix needed in this pass.","RecordingsView tests verify regenerating grounded summary and action items into editable blocks, saving edits, and preserving visible drafts when persistence fails.","Citation display covered in related chat/action tests."
"US-035","Meetings","Meeting templates and structured notes","As a user, I want meeting-specific templates and sections that structure notes without forcing a single format.","RecordingsView uses MEETING_TEMPLATES, buildMeetingTemplateOutline, updateRecordingTemplate, and section serialization.","src/components/views/recordings-view.tsx; src/lib/meeting-templates.ts","src/__tests__/recordings-view.test.tsx","Retested pass","Focused RecordingsView tests passed.","Pending","No fix needed in this pass.","RecordingsView tests verify template changes persist and matching notes outlines can be applied.","Placeholder and section-removal edge cases remain worth a later pass."
"US-036","Meetings","Meeting chat","As a user, I want to ask follow-up questions about the selected meeting and apply useful answers to notes or actions.","RecordingsView loads and updates meeting chat messages, calls askMemory, and offers result actions such as replace summary, append to notes, copy follow-up, and replace action items.","src/components/views/recordings-view.tsx; src/lib/backend/recordings.ts; src/lib/backend/ai.ts","src/__tests__/recordings-view.test.tsx","Retested pass","Focused RecordingsView tests passed.","Pending","No fix needed in this pass.","RecordingsView tests verify meeting chat history persists, follow-up drafts copy, generated answers apply to notes/actions, and stale chat loads are ignored after switching recordings.","Backend askMemory call is mocked, not live."
"US-037","Meetings","Rename and delete recordings","As a user, I want to rename recordings and safely delete recordings I no longer need.","RecordingsView opens rename and delete dialogs, calls renameRecording and deleteRecording, and disables invalid rename submission.","src/components/views/recordings-view.tsx; src/lib/backend/recordings.ts","src/__tests__/recordings-view.test.tsx","Retested pass","Focused RecordingsView tests passed.","Pending","No fix needed in this pass.","RecordingsView tests cover rename/delete APIs and selected-recording refresh paths with mocked backend responses.","Delete confirmation remains code-reviewed, not rendered in this pass."
"US-038","Meetings","Export from recording workspace","As a user, I want to export a selected meeting directly from the detail workspace.","RecordingsView calls exportRecordingV2 and openExportPath for the current recording.","src/components/views/recordings-view.tsx; src/lib/backend/exports.ts","src/__tests__/recordings-view.test.tsx","Retested pass","Focused RecordingsView tests passed.","Pending","No fix needed in this pass.","RecordingsView test verifies exporting meeting artifacts from the review workspace and opening the returned export path.","Cross-checked with Exports screen tests from US-041 and US-042."
"US-039","Projects","Create project","As a user, I want to create a project with name and optional description.","ProjectsView opens a dialog, validates a non-empty name, calls createProject, and resets the form on success.","src/components/views/projects-view.tsx; src/hooks/use-projects.ts","src/__tests__/use-projects.test.ts; src/__tests__/projects-view.test.tsx","Retested pass","Focused project tests passed.","Pending","No fix needed in this pass.","Project hook tests cover createProject behavior, and ProjectsView test verifies the project list no longer exposes dead interactive cards.","Direct create-dialog renderer coverage remains a useful gap."
"US-040","Projects","Project list","As a user, I want to see projects with recording counts, encryption state, and description.","ProjectsView computes recordingCountByProject and renders project cards with counts and standard or encrypted status.","src/components/views/projects-view.tsx; src/hooks/use-projects.ts","src/__tests__/use-projects.test.ts; src/__tests__/projects-view.test.tsx","Retested pass","Baseline tests passed before fix","Cards looked interactive and said View recordings without a real card action; options button also had no menu.","Fixed in ProjectsView: removed dead interactive card and options affordance, added explicit Open meetings action.","Focused projects test passed; full suite passed; Playwright smoke verified rendered Open meetings action and no View recordings copy.","Project-specific filtering is still future scope."
"US-041","Exports","Basic recording export","As a user, I want to preview and export recordings as Markdown, JSON, or plain text with a chosen redaction level.","ExportsView requires a selected recording, calls exportRecordingV2 with preview or target path, and displays preview, errors, last export path, an open-export action, and a no-recordings path back to Meetings.","src/components/views/exports-view.tsx; src/lib/backend/exports.ts","src/__tests__/exports-view.test.tsx","Retested pass","Focused Exports test added and passed.","Disabled controls did not explain that a recording must be selected; successful export showed a file path without an open action; zero-recording state had no clear recovery action.","Fixed in ExportsView: added selection guidance, Open export action backed by openExportPath, and no-recordings empty state that routes to Meetings.","Focused exports test passed with basic export, open export, and no-recordings coverage; Playwright smoke verified rendered preview and export success.","Rendered smoke artifact: output/playwright/plainsong-exports-theme-smoke.png."
"US-042","Exports","Template export","As a user, I want to render recordings with structured templates and preview before writing files.","ExportsView loads templates, selects the first available template, calls exportWithTemplate for preview and export, reports template or recording requirements, shows template load failures, retries loading templates, and exposes an open-export action after success.","src/components/views/exports-view.tsx; src/lib/backend/exports.ts","src/__tests__/exports-view.test.tsx","Retested pass","Focused Exports test added and passed.","Template export controls did not explain that both recording and template are required; successful template export showed a file path without an open action; template load failures were console-only.","Fixed in ExportsView: added recording/template guidance, Open export action backed by openExportPath, visible template load error, and Retry action.","Focused exports test passed with template preview, export, open export, and template retry coverage; Playwright smoke verified rendered template preview.","Rendered smoke artifact: output/playwright/plainsong-exports-theme-smoke.png."
"US-043","Setup","Dictation readiness repair","As a user, I want a setup screen that explains dictation blockers and runs repairs or verification.","SetupView reads useSetupStatus, displays permissions, routes, blockers, model state, and calls requestDictationPermissions, repairCursorInsertPermissions, smokeTestCursorInsert, verifyDictationSetup, and model downloads.","src/components/views/setup-view.tsx; src/hooks/use-setup-status.ts","src/__tests__/setup-view.test.tsx; src/hooks/use-setup-status.test.ts","Retested pass","Baseline tests passed before fix","Speech permission could show Ready before diagnostics loaded; permission and insert actions lacked user-present warning.","Fixed in SetupView: unknown speech state shows Checking, and permission or insert tests warn that they may open prompts or insert test text.","Focused setup test passed; full suite passed; Playwright smoke verified rendered warning.","Do not run live permission requests while AFK."
"US-044","Setup","Meeting readiness repair","As a user, I want setup to verify meeting capture, system audio, loopback devices, storage, and provider suitability.","SetupView displays meeting route policy, system audio availability, loopback device, and runs verifyMeetingSetup and verifySystemAudioSetup.","src/components/views/setup-view.tsx; src/hooks/use-setup-status.ts","src/__tests__/setup-view.test.tsx","Retested pass","Focused SetupView tests passed.","Pending","No fix needed in this pass.","Setup tests verify meeting policy display, mic-only capture mode, current blockers, and mocked meeting/system-audio verification paths.","Live system audio checks remain permission-sensitive and were not invoked."
"US-045","Setup","Provider readiness actions","As a user, I want available ASR providers sorted and actionable by readiness so I know what to download or configure.","SetupView sorts providers by meeting-grade and readiness, shows ready, missing model, runtime setup, or error badges, and runs download, repair, settings, or refresh actions.","src/components/views/setup-view.tsx; src/lib/asr-capabilities.ts; src/lib/backend/asr.ts","src/__tests__/setup-view.test.tsx; src/__tests__/asr-capabilities.test.ts","Retested pass","Focused SetupView tests passed.","Pending","No fix needed in this pass.","Setup tests verify provider model download calls downloadAsrModels, refreshes runtime probes, and refreshes setup status with mocked providers.","No live model download was run while AFK."
"US-046","Settings","Transcription settings","As a user, I want to configure microphones, ASR routes, dictation behavior, active languages, and insertion mode.","SettingsView Transcription tab loads devices, providers, model lists, diarization models, and debounced saves transcription settings.","src/components/views/settings-view-simple.tsx; src/components/asr-provider-manager.tsx; src/lib/backend/settings.ts","src/__tests__/settings-view-simple.test.tsx; src/__tests__/platform-optimization-settings.test.tsx","Retested pass","Focused settings tests passed.","Pending","No fix needed in this pass.","Settings tests verify dictation readiness copy, debounced saves, immediate blur saves, and active language persistence from transcription settings.","Large tab remains mocked."
"US-047","Settings","General settings","As a user, I want to configure appearance, launch behavior, shortcuts, overlays, and onboarding reset.","SettingsView General tab controls theme, shortcuts, launch/window behavior, and onboarding reset through saveSettings and local storage.","src/components/views/settings-view-simple.tsx; src/components/theme-provider.tsx; src/lib/shortcuts.ts","src/__tests__/settings-view-simple.test.tsx; src/__tests__/dictation-hotkey.test.ts","Retested pass","Focused settings tests passed.","Pending","No fix needed in this pass.","Settings tests verify always-on-top persistence, Plainsong-only palette, and guided setup actions reopening modular onboarding flows.","Shortcut capture has separate hotkey tests."
"US-048","Settings","Privacy and security","As a user, I want to understand permissions, local-first policy, vault state, remote processing, and reset risk.","SettingsView Privacy & Security tab reads permission diagnostics and security status, manages vault lock/unlock, provider secret migration, permission repair, and destructive reset confirmation requiring RESET.","src/components/views/settings-view-simple.tsx; src/lib/backend/settings.ts","src/__tests__/settings-view-simple.test.tsx","Retested pass","Focused settings tests passed.","Pending","No fix needed in this pass.","Settings tests verify Privacy & Security lazy-loads security status only when the tab opens, and AI provider tests avoid stale cloud model IDs.","Destructive reset and real vault unlock were not run."
"US-049","Settings","Storage and backups","As a user, I want to configure storage locations, backup policy, cloud sync paths, create backups, restore backups, and verify cloud connection.","SettingsView Storage tab calls backup config, backup setup report, list backups, create backup, create settings backup, restore backup, sync to cloud, and verify cloud connection APIs.","src/components/views/settings-view-simple.tsx; src/lib/backend/storage.ts; docs/cloud-sync-byoc.md","src/__tests__/settings-view-simple.test.tsx","Retested pass","Focused settings tests passed.","Pending","No fix needed in this pass.","Settings tests verify Storage lazy-loads backup lists by tab, renders before backup config finishes, and can restore the latest profile snapshot.","Folder/path and real cloud connection risks remain mocked."
"US-050","Settings","AI provider keys and models","As a user, I want to configure local or cloud analysis providers and secrets without exposing credentials.","SettingsView AI & Keys tab lists Ollama, OpenAI, Anthropic, DeepSeek, Gemini, Ollama Cloud models, and manages provider secrets through vault APIs.","src/components/views/settings-view-simple.tsx; src/lib/backend/ai.ts; src/lib/backend/settings.ts","src/__tests__/settings-view-simple.test.tsx","Retested pass","Focused settings tests passed.","Pending","No fix needed in this pass.","Settings tests verify AI settings navigate to memory and meetings, and switching local Ollama analysis clears stale cloud model IDs.","Secrets were mocked; no credential values logged or exercised."
"US-051","Settings","Updates","As a user, I want to see update status and opt into beta updates when appropriate.","SettingsView Updates tab renders UpdateStatusWidget and BetaChannelToggle.","src/components/views/settings-view-simple.tsx; src/components/update/UpdateStatusWidget.tsx; src/components/update/BetaChannelToggle.tsx","src/__tests__/update-components.test.tsx","Retested pass","Focused update component tests passed.","Pending","No fix needed in this pass.","Update tests verify available-update messaging, install action, beta channel switch availability, and setUpdateChannel call.","No live updater or network check was run."
"US-052","Onboarding","Dictation setup path","As a new user focused on dictation, I want a guided path for microphone, speech recognition, accessibility, shortcut fallback, and model readiness.","FirstRunWizard supports dictation mode, permission checks, model download, shortcut choice, and recommended route application.","src/components/first-run-wizard.tsx; src/lib/onboarding.ts","src/__tests__/first-run-wizard.test.tsx","Retested pass","Baseline tests passed before fix","Auto-request permission copy did not clearly tell users to be present for system prompts.","Fixed in FirstRunWizard: auto-request copy now says to leave it off when not at the Mac to respond to prompts.","Full suite passed, including first-run wizard coverage.","Permission buttons should be skipped in AFK test."
